symbol,name,sector_top,sector_top_weight_pct,sector_trust,bucket,reasons
JPLD,"JPMorgan Limited Duration ETF","",,0.3,DATA_MISSING,"NO_SECTOR_DATA"
KGLD,"Kurv Gold Enhanced Income ETF","",,0.3,DATA_MISSING,"NO_SECTOR_DATA"
KLAG,"Leverage Shares 2X Long KLAC Daily ETF","",,0.4,NON_STANDARD,"NON_STANDARD_LEVERAGED|NO_SECTOR_DATA"
KOLD,"ProShares UltraShort Bloomberg Natural Gas","",,0.35,ALT_ASSET_COMMODITY,"ALT_ASSET_COMMODITY"
KORU,"Direxion Daily MSCI South Korea Bull 3X Shares ETF","Technology",63.37,0.4,NON_STANDARD,"NON_STANDARD_LEVERAGED"
KSLV,"Kurv Silver Enhanced Income ETF","",,0.35,ALT_ASSET_COMMODITY,"ALT_ASSET_COMMODITY"
KTUP,"T-REX 2X Long Kratos Defense & Security Solutions Daily Target ETF","",,0.4,NON_STANDARD,"NON_STANDARD_LEVERAGED|NO_SECTOR_DATA"
LABD,"Direxion Daily S&P Biotech Bear 3X Shares","Basic Materials",0.00,0.4,NON_STANDARD,"NON_STANDARD_INVERSE"
LABU,"Direxion Daily S&P Biotech Bull 3X Shares","Healthcare",99.67,0.4,NON_STANDARD,"NON_STANDARD_LEVERAGED"
LABX,"Tradr 2X Long ALAB Daily ETF","",,0.4,NON_STANDARD,"NON_STANDARD_LEVERAGED|NO_SECTOR_DATA"
LEUX,"Tradr 2X Long LEU Daily ETF","",,0.4,NON_STANDARD,"NON_STANDARD_LEVERAGED|NO_SECTOR_DATA"
LFGY,"YieldMax Crypto Industry & Tech Portfolio Option Income ETF","Financial Services",57.78,0.35,ALT_ASSET_CRYPTO,"OPTIONS_OVERLAY|ALT_ASSET_CRYPTO"
LGOV,"First Trust Long Duration Opportunities ETF","",,0.3,DATA_MISSING,"NO_SECTOR_DATA"
LINT,"Direxion Daily INTC Bull 2X ETF","Technology",100.00,0.4,NON_STANDARD,"NON_STANDARD_LEVERAGED"
LITX,"Tradr 2X Long LITE Daily ETF","",,0.45,INDEX_DERIVATIVE,"INDEX_DERIVATIVE|NON_STANDARD_LEVERAGED"
LMBS,"First Trust Low Duration Opportunities ETF","",,0.3,DATA_MISSING,"NO_SECTOR_DATA"
LNOK,"Defiance Daily Target Long NOK ETF","",,0.4,NON_STANDARD,"NON_STANDARD_LEVERAGED|NO_SECTOR_DATA"
SARK,"Tuttle Capital Short Innovation ETF","",,0.4,NON_STANDARD,"NON_STANDARD_INVERSE|NO_SECTOR_DATA"
SATG,"Leverage Shares 2X Long SATS Daily ETF","",,0.45,INDEX_DERIVATIVE,"INDEX_DERIVATIVE|NON_STANDARD_LEVERAGED"
SBIT,"ProShares UltraShort Bitcoin ETF","",,0.35,ALT_ASSET_CRYPTO,"ALT_ASSET_CRYPTO"
SCEC,"Sterling Capital Enhanced Cash ETF","",,0.3,DATA_MISSING,"NO_SECTOR_DATA"
SCIO,"First Trust Structured Credit Income Opportunities ETF","",,0.3,DATA_MISSING,"NO_SECTOR_DATA"
SCO,"ProShares UltraShort Bloomberg Crude Oil","",,0.4,NON_STANDARD,"NON_STANDARD_INVERSE|NO_SECTOR_DATA"
SDCI,"USCF SummerHaven Dynamic Commodity Strategy No K-1 Fund","",,0.3,DATA_MISSING,"NO_SECTOR_DATA"
SDOW,"ProShares UltraPro Short Dow30","",,0.45,INDEX_DERIVATIVE,"INDEX_DERIVATIVE|NON_STANDARD_INVERSE"
SDS,"ProShares UltraShort S&P500","",,0.45,INDEX_DERIVATIVE,"INDEX_DERIVATIVE|NON_STANDARD_INVERSE"
SEMY,"GraniteShares YieldBOOST Semiconductor ETF","",,0.3,DATA_MISSING,"NO_SECTOR_DATA"
SETH,"ProShares Short Ether Strategy ETF","",,0.35,ALT_ASSET_CRYPTO,"ALT_ASSET_CRYPTO"
SGOL,"abrdn Physical Gold Shares ETF","",,0.3,DATA_MISSING,"NO_SECTOR_DATA"
SH,"ProShares Short S&P500","",,0.45,INDEX_DERIVATIVE,"INDEX_DERIVATIVE|NON_STANDARD_INVERSE"
SHNY,"MicroSectors Gold 3X Leveraged ETNs","",,0.4,STRUCTURED_VEHICLE,"STRUCTURED_VEHICLE"
SHPU,"Direxion Daily SHOP Bull 2X ETF","Technology",100.00,0.4,NON_STANDARD,"NON_STANDARD_LEVERAGED"
SIVR,"abrdn Physical Silver Shares ETF","",,0.35,ALT_ASSET_COMMODITY,"ALT_ASSET_COMMODITY"
SLON,"ProShares Ultra Solana ETF","",,0.35,ALT_ASSET_CRYPTO,"ALT_ASSET_CRYPTO"
SLV,"iShares Silver Trust","",,0.35,ALT_ASSET_COMMODITY,"ALT_ASSET_COMMODITY"
SLVO,"UBS AG ETRACS Monthly Pay 2xLeveraged Silver Shares Covered Call Exchange Traded Note","",,0.35,ALT_ASSET_COMMODITY,"OPTIONS_OVERLAY|ALT_ASSET_COMMODITY"
SMCX,"Defiance Daily Technology Sector 2x Long ETF","",,0.45,INDEX_DERIVATIVE,"INDEX_DERIVATIVE|NON_STANDARD_LEVERAGED"
SMST,"Defiance Daily Target 2X Shares Master Trust","",,0.4,NON_STANDARD,"NON_STANDARD_LEVERAGED|NO_SECTOR_DATA"
SMU,"Tradr 2X Long SMR Daily ETF","",,0.4,NON_STANDARD,"NON_STANDARD_LEVERAGED|NO_SECTOR_DATA"
SMUP,"T-REX 2X Long SMR Daily Target ETF","",,0.4,NON_STANDARD,"NON_STANDARD_LEVERAGED|NO_SECTOR_DATA"
SMZ,"Tradr 2X Short SMR Daily ETF","",,0.4,NON_STANDARD,"NON_STANDARD_INVERSE|NO_SECTOR_DATA"
SNDU,"T-REX 2X Long SNDK Daily Target ETF","",,0.45,INDEX_DERIVATIVE,"INDEX_DERIVATIVE|NON_STANDARD_LEVERAGED"
