symbol,currency_base,currency_quote,exchange_used,exchange_normalized,last_close,last_datetime,ret_1d_pct,ret_7d_pct,ret_30d_pct,ret_90d_pct,ret_1y_pct,ret_ytd_pct,ret_6m_pct,vol_7d_annual_pct,vol_30d_annual_pct,sharpe_ratio,var_95_pct,atr14_pct,drawdown_90d_pct,tier1_listed,stale,data_points,coverage_ratio,enough_history_90d,enough_history_1y,return_type,returns_mode,include_today,ret_1y_suspect
"BTTN/USD","BitTorrent","US Dollar","Binance","binance","0.0000","2026-02-09","0.00","-5.71","-23.26","-31.25","-99.99","-17.50","-52.17","106.04","73.64","-4.03","-7.14","7.79","34.04","true","false","425","1.000","true","true","simple","calendar","true","false"
"BTT/USD","BitTorrent (New)","US Dollar","Binance","binance","0.0000","2026-02-09","0.00","-11.11","-25.58","-33.33","-62.79","-20.00","-53.62","107.14","76.37","-3.97","-7.14","8.04","34.04","true","false","425","1.000","true","true","simple","calendar","true","false"
"C98/USD","Coin98","US Dollar","Binance","binance","0.0256","2026-02-09","0.39","5.79","1.99","-29.48","-72.68","8.47","-54.04","213.38","229.97","1.17","-8.27","21.26","42.09","true","false","425","1.000","true","true","simple","calendar","true","false"
"CAKE/USD","PancakeSwap","US Dollar","Binance","binance","1.3640","2026-02-09","0.00","-13.78","-30.76","-46.51","-21.25","-31.32","-52.32","131.18","84.13","-5.44","-9.73","9.28","48.23","true","false","425","1.000","true","true","simple","calendar","true","false"
"CEEK/USD","CEEK VR","US Dollar","Gate.io","gate.io","0.0036","2026-02-09","-1.77","-13.02","-30.52","-40.98","-84.21","-24.51","-65.90","146.21","85.08","-5.24","-7.69","14.26","43.29","false","false","425","1.000","true","true","simple","calendar","true","false"
"CELO/USD","Celo","US Dollar","Binance","binance","0.0837","2026-02-09","0.48","-12.26","-33.25","-65.78","-80.22","-27.97","-76.93","158.15","109.44","-4.39","-10.62","10.89","66.31","true","false","425","1.000","true","true","simple","calendar","true","false"
"CELR/USD","Celer Network","US Dollar","Binance","binance","0.0025","2026-02-09","2.97","-13.47","-40.09","-57.84","-78.95","-34.64","-69.35","128.61","95.74","-5.75","-9.04","10.63","55.78","true","false","425","1.000","true","true","simple","calendar","true","false"
"CFX/USD","Conflux","US Dollar","Binance","binance","0.0473","2026-02-09","1.94","-15.54","-38.65","-52.27","-57.16","-36.68","-77.40","172.39","103.36","-5.13","-11.16","11.60","52.41","true","false","425","1.000","true","true","simple","calendar","true","false"
"CGLD/USD","Celo","US Dollar","Coinbase Pro","coinbase","0.0839","2026-02-09","0.12","-12.15","-32.88","-65.47","-80.21","-28.29","-76.82","162.12","110.82","-4.24","-10.36","11.12","66.41","true","false","425","1.000","true","true","simple","calendar","true","false"
"CHR/USD","Chromia","US Dollar","Binance","binance","0.0282","2026-02-09","1.44","-9.03","-36.34","-63.14","-77.39","-34.72","-71.40","134.84","101.86","-4.78","-8.08","10.28","62.71","true","false","425","1.000","true","true","simple","calendar","true","false"
"CHZ/USD","Chiliz","US Dollar","Binance","binance","0.0406","2026-02-09","-1.72","-12.25","-9.57","19.33","-30.21","-1.34","-6.39","132.84","120.88","-1.65","-13.70","11.88","38.35","true","false","425","1.000","true","true","simple","calendar","true","false"
"CKB/USD","Nervos Network","US Dollar","Binance","binance","0.0017","2026-02-09","0.36","-17.44","-38.70","-50.90","-73.66","-32.41","-72.06","162.49","107.60","-4.96","-10.41","11.46","49.83","true","false","425","1.000","true","true","simple","calendar","true","false"
"COMP/USD","Compound","US Dollar","Binance","binance","17.0100","2026-02-09","0.47","-13.61","-36.88","-50.98","-66.73","-33.01","-69.23","137.05","81.21","-6.14","-10.13","10.30","54.25","true","false","425","1.000","true","true","simple","calendar","true","false"
"CORE/USD","Core","US Dollar","Bybit","bybit","0.0865","2026-02-09","-0.46","-2.04","-31.67","-59.99","-100.00","-24.19","-83.64","152.11","103.97","-3.70","-8.90","10.60","61.00","true","false","425","1.000","true","true","simple","calendar","true","false"
"CORE/USD","cVault.finance","US Dollar","Gate.io","gate.io","0.0861","2026-02-09","-0.74","-2.50","-31.84","-60.13","-83.66","-24.68","-83.71","148.39","102.22","-3.84","-8.99","10.68","60.93","false","false","425","1.000","true","true","simple","calendar","true","false"
"COTI/USD","COTI","US Dollar","Binance","binance","0.0121","2026-02-09","1.42","-18.82","-44.17","-78.79","-83.93","-44.51","-78.92","150.14","120.64","-5.16","-12.73","12.70","69.49","true","false","425","1.000","true","true","simple","calendar","true","false"
"COVAL/USD","Circuits of Value","US Dollar","Gate.io","gate.io","0.0001","2026-01-26","-17.57","-17.57","-3.82","-81.83","-92.33","-17.05","-89.14","195.28","196.71","0.62","-14.52","36.81","82.38","false","true","425","1.000","true","true","simple","calendar","true","false"
"CRO/USD","Crypto.com Coin","US Dollar","Kucoin","kucoin","0.0791","2026-02-09","-0.85","-5.03","-21.71","-38.05","-15.24","-15.88","-49.66","135.54","77.34","-3.40","-4.99","8.17","43.10","true","false","425","1.000","true","true","simple","calendar","true","false"
"CRV/EUR","Curve DAO Token","Euro","Coinbase Pro","coinbase","0.2137","2026-02-09","-0.19","-12.45","-39.05","-48.47","-58.26","-36.15","-74.70","148.02","96.75","-5.71","-8.49","10.79","50.27","true","false","425","1.000","true","true","simple","calendar","true","false"
"CRV/USD","Curve DAO Token","US Dollar","Binance","binance","0.2539","2026-02-09","0.55","-11.87","-37.75","-47.08","-51.74","-35.48","-74.28","156.74","97.76","-5.37","-8.89","10.96","49.79","true","false","425","1.000","true","true","simple","calendar","true","false"
"CSPR/USD","Casper","US Dollar","Huobi","huobi","0.0032","2026-02-09","-1.40","-15.27","-38.51","-57.32","-73.46","-31.15","-72.54","135.02","92.52","-5.69","-10.82","10.57","58.22","true","false","425","1.000","true","true","simple","calendar","true","false"
"CTSI/USD","Cartesi","US Dollar","Binance","binance","0.0266","2026-02-09","0.38","-6.34","-24.86","-44.81","-75.05","-20.12","-63.41","112.32","81.65","-3.74","-8.14","9.75","49.12","true","false","425","1.000","true","true","simple","calendar","true","false"
"CVC/USD","Civic","US Dollar","Binance","binance","0.0345","2026-02-09","4.04","-4.22","-28.17","-39.31","-69.52","-19.45","-64.94","175.37","97.38","-3.67","-7.66","13.50","50.87","true","false","425","1.000","true","true","simple","calendar","true","false"
"CVX/USD","Convex Finance","US Dollar","Binance","binance","1.9670","2026-02-09","6.21","6.55","-1.94","-4.98","-4.19","14.63","-57.29","182.10","122.81","0.43","-8.44","11.04","35.30","true","false","425","1.000","true","true","simple","calendar","true","false"
"DASH/EUR","Dash","Euro","Kraken","kraken","30.6590","2026-02-09","-2.13","-18.33","-5.70","-56.58","22.83","-16.57","55.01","136.79","252.27","0.81","-13.38","14.44","65.72","true","false","425","1.000","true","true","simple","calendar","true","false"
"DASH/USD","Dash","US Dollar","Binance","binance","36.5700","2026-02-09","-1.61","-17.06","-3.25","-55.16","41.74","-15.64","57.70","142.01","250.18","0.92","-13.67","14.68","65.14","true","false","425","1.000","true","true","simple","calendar","true","false"
"DATA/USD","Streamr DATAcoin","US Dollar","Gate.io","gate.io","0.0018","2026-02-09","3.39","-31.40","-65.05","-76.52","-92.46","-70.47","-89.54","152.78","128.45","-9.20","-12.86","34.98","77.15","false","false","425","1.000","true","true","simple","calendar","true","false"
"DBC/USD","DeepBrain Chain","US Dollar","Gate.io","gate.io","0.0002","2026-02-09","1.81","3.25","10.48","-42.33","-90.86","18.59","-68.95","104.73","122.00","2.01","-7.77","17.36","52.49","false","false","425","1.000","true","true","simple","calendar","true","false"
"DCR/USD","Decred","US Dollar","Binance","binance","26.3500","2026-02-09","6.12","38.98","62.75","-26.60","110.30","51.18","48.45","94.94","144.54","5.04","-7.63","10.19","59.36","true","false","425","1.000","true","true","simple","calendar","true","false"
"DENT/USD","Dent","US Dollar","Binance","binance","0.0001","2026-02-09","1.35","-7.41","-34.78","-65.83","-82.80","-27.88","-81.97","138.30","92.11","-4.83","-7.45","10.48","66.50","true","false","425","1.000","true","true","simple","calendar","true","false"
"DGB/USD","DigiByte","US Dollar","OKEx","okx","0.0042","2026-02-09","-2.83","-17.87","-28.49","-53.35","-49.86","-30.12","-55.44","120.60","94.21","-3.98","-7.22","10.18","54.06","true","false","425","1.000","true","true","simple","calendar","true","false"
"DOGE/EUR","Dogecoin","Euro","Binance","binance","0.0810","2026-02-09","-0.91","-11.40","-32.96","-47.81","-66.48","-24.88","-60.54","142.35","90.59","-4.82","-9.78","9.90","48.89","true","false","425","1.000","true","true","simple","calendar","true","false"
"DOGE/USD","Dogecoin","US Dollar","Binance","binance","0.0963","2026-02-09","-0.35","-10.78","-31.57","-46.30","-61.31","-24.08","-59.87","144.43","90.90","-4.52","-9.97","10.03","48.00","true","false","425","1.000","true","true","simple","calendar","true","false"
