symbol,currency_base,currency_quote,exchange_used,exchange_normalized,last_close,last_datetime,ret_1d_pct,ret_7d_pct,ret_30d_pct,ret_90d_pct,ret_1y_pct,ret_ytd_pct,ret_6m_pct,vol_7d_annual_pct,vol_30d_annual_pct,sharpe_ratio,var_95_pct,atr14_pct,drawdown_90d_pct,tier1_listed,stale,data_points,coverage_ratio,enough_history_90d,enough_history_1y,return_type,returns_mode,include_today,ret_1y_suspect
"BSW/USD","Biswap","US Dollar","Binance","binance","0.0112","2026-02-14","0.00","0.00","0.00","0.00","-78.29","0.00","0.00","0.00","0.00","","","0.00","0.00","true","false","425","1.000","true","true","simple","calendar","true","false"
"BTC/EUR","Bitcoin","Euro","Binance","binance","58819.2600","2026-02-14","1.40","0.09","-29.36","-27.68","-36.75","-22.08","-42.12","43.14","78.95","-4.79","-6.23","7.08","35.90","true","false","425","1.000","true","true","simple","calendar","true","false"
"BTC/USD","Bitcoin","US Dollar","Binance","binance","69719.7600","2026-02-14","1.26","0.62","-28.09","-26.30","-28.49","-21.52","-41.06","43.01","79.07","-4.47","-6.55","7.01","35.11","true","false","425","1.000","true","true","simple","calendar","true","false"
"BTS/USD","BitShares","US Dollar","Gate.io","gate.io","0.0011","2026-02-14","-2.67","2.79","-10.88","0.98","-4.71","-5.13","-12.25","38.60","38.02","-2.45","-2.82","6.35","18.90","false","false","425","1.000","true","true","simple","calendar","true","false"
"BTTN/USD","BitTorrent","US Dollar","Binance","binance","0.0000","2026-02-14","2.86","9.09","-18.18","-18.18","-59.55","-10.00","-47.06","55.78","75.18","-2.53","-7.14","7.54","31.11","true","false","425","1.000","true","true","simple","calendar","true","false"
"BTT/USD","BitTorrent (New)","US Dollar","Binance","binance","0.0000","2026-02-14","2.86","9.09","-18.18","-18.18","-59.09","-10.00","-47.06","57.02","76.70","-2.47","-7.14","7.54","31.11","true","false","425","1.000","true","true","simple","calendar","true","false"
"C98/USD","Coin98","US Dollar","Binance","binance","0.0330","2026-02-14","8.55","18.71","32.00","6.45","-68.98","39.83","-37.14","139.69","233.30","2.79","-8.27","16.80","34.01","true","false","425","1.000","true","true","simple","calendar","true","false"
"CAKE/USD","PancakeSwap","US Dollar","Binance","binance","1.3440","2026-02-14","3.23","-2.61","-34.66","-42.59","-45.48","-32.33","-50.50","36.40","81.59","-5.83","-9.73","7.55","48.23","true","false","425","1.000","true","true","simple","calendar","true","false"
"CEEK/USD","CEEK VR","US Dollar","Gate.io","gate.io","0.0036","2026-02-14","0.55","-4.31","-31.74","-33.24","-84.70","-22.75","-63.59","66.56","87.15","-4.76","-7.69","13.04","39.45","false","false","425","1.000","true","true","simple","calendar","true","false"
"CELO/USD","Celo","US Dollar","Binance","binance","0.0893","2026-02-14","3.60","7.59","-31.83","-55.97","-80.43","-23.15","-73.59","55.01","105.85","-3.60","-10.62","8.08","59.88","true","false","425","1.000","true","true","simple","calendar","true","false"
"CELR/USD","Celer Network","US Dollar","Binance","binance","0.0027","2026-02-14","2.96","7.01","-37.08","-44.94","-78.96","-29.12","-64.93","56.12","89.54","-5.11","-9.04","7.80","51.22","true","false","425","1.000","true","true","simple","calendar","true","false"
"CFX/USD","Conflux","US Dollar","Binance","binance","0.0564","2026-02-14","5.62","14.63","-28.24","-34.49","-53.27","-24.50","-68.35","112.68","113.07","-2.72","-11.16","8.97","50.33","true","false","425","1.000","true","true","simple","calendar","true","false"
"CGLD/USD","Celo","US Dollar","Coinbase Pro","coinbase","0.0894","2026-02-14","3.95","7.58","-31.76","-55.96","-80.44","-23.59","-73.63","55.36","107.67","-3.43","-10.36","8.17","59.95","true","false","425","1.000","true","true","simple","calendar","true","false"
"CHR/USD","Chromia","US Dollar","Binance","binance","0.0278","2026-02-14","3.73","-2.11","-39.57","-54.58","-79.74","-35.65","-70.04","50.29","88.84","-5.89","-8.08","8.50","59.13","true","false","425","1.000","true","true","simple","calendar","true","false"
"CHZ/USD","Chiliz","US Dollar","Binance","binance","0.0439","2026-02-14","4.68","2.26","-21.43","41.64","-28.88","6.76","9.29","69.99","118.52","-2.30","-13.70","8.06","38.35","true","false","425","1.000","true","true","simple","calendar","true","false"
"CKB/USD","Nervos Network","US Dollar","Binance","binance","0.0017","2026-02-14","3.20","-0.74","-38.76","-40.90","-73.11","-29.29","-66.39","58.81","100.05","-4.71","-10.41","8.72","45.48","true","false","425","1.000","true","true","simple","calendar","true","false"
"COMP/USD","Compound","US Dollar","Binance","binance","20.4000","2026-02-14","-2.58","16.04","-25.66","-37.10","-65.10","-19.65","-58.00","223.36","132.59","-1.90","-10.13","10.37","55.64","true","false","425","1.000","true","true","simple","calendar","true","false"
