Ticker,Stock,Secteur,Pays,Bourse de valeurs,Devise de marché,roe,de_ratio,roic,roe_avg_3y,roe_std_3y,roic_avg_3y,roic_std_3y,roic_persist_6y,roe_persist_6y,roic_downside_6y,roe_downside_6y,years_roic_6y,net_margin,revenue_growth_3y,assets_to_equity
"ALSPW","SPINEWAY S.A.","","France","Euronext","EUR","-9.46","0.07","-5.89","-19.67","11.24","-8.70","7.32","0","0","2.89","68.16","6","-18.00","8.70","NaN"
"ALSRS","SIRIUS MEDIA S.A.","","France","Euronext","EUR","674.53","-2.31","-22.69","474.48","417.94","-13.31","13.24","0","5","10.89","157.37","6","-24575.47","-82.62","NaN"
"ATO","ATOS SE","","France","Euronext","EUR","-31200.00","-3.50","1.63","-10440.15","17978.94","0.64","1.29","0","1","2.63","17991.32","6","-17.55","-13.50","NaN"
"ALTAO","ATON S.A.","","France","Euronext","EUR","-128.34","12.89","-8.00","1.13","277.66","-6.68","5.04","0","1","4.74","126.52","6","-151.74","3.93","NaN"
"ALTBG","BLOCKCHAIN GROUP INC.","","France","Euronext","EUR","13.89","0.28","-6.31","-47.02","75.23","-11.72","5.00","1","2","7.67","137.02","6","9.82","-19.30","NaN"
"ALSGD","SPINEGUARD S.A.","","France","Euronext","EUR","-44.10","0.27","-19.22","-60.34","15.46","-30.49","10.12","0","1","15.23","14.90","6","-55.03","-6.66","NaN"
"ALSEN","SENSORION SA","","France","Euronext","EUR","-50.47","0.03","-233.89","-59.92","17.40","-211.01","27.77","0","0","21.77","21.05","6","","","NaN"
"ALPRG","PROLOGUE S.A.","","France","Euronext","EUR","37.70","0.10","-10.55","3.97","38.68","0.64","12.83","1","2","6.50","23.17","6","13.87","-23.72","NaN"
"AYV","AYVENS SA","","France","Euronext","EUR","9.00","3.32","1.74","7.98","1.46","1.60","0.25","0","3","0.33","2.92","6","3.99","15.17","NaN"
"ALPWG","PRODWAYS GROUP S.A.","","France","Euronext","EUR","-0.21","0.32","-1.82","-7.01","14.10","-3.25","6.72","0","0","6.28","22.49","5","-0.27","-28.76","NaN"
"ATE","ALTEN S.A.","","France","Euronext","EUR","4.82","0.13","4.34","8.54","3.61","6.98","2.89","2","3","2.87","3.62","6","2.61","0.37","NaN"
"AVT","AVENIR TELECOM S.A.","","France","Euronext","EUR","-415.62","-1.23","-55.83","-191.35","198.01","-85.33","26.91","0","0","33.67","202.70","6","-46.81","-14.11","NaN"
"ALRIB","RIBER S.A.","","France","Euronext","EUR","20.59","0.06","11.48","18.67","1.81","12.57","1.13","2","3","6.07","9.51","6","13.00","1.32","NaN"
"ALROC","ROCTOOL S.A.","","France","Euronext","EUR","-148.55","1.04","-38.07","-108.45","53.09","-25.65","15.15","0","0","15.02","63.71","6","-61.89","-29.22","NaN"
"ALTD","TONNER DRONES INC.","","France","Euronext","EUR","-41.04","7.93","-17.61","-106.31","56.86","-21.10","3.46","0","0","2.56","40.05","6","937.51","-91.04","NaN"
"ALVIO","VALERIO TX CORP.","","France","Euronext","EUR","158.26","3.67","-2.02","-227.77","456.63","-31.70","25.94","0","1","17.97","398.57","6","-190.36","19.56","NaN"
"ALVMG","VISIOMED GROUP SA","","France","Euronext","EUR","3.68","0.32","2.22","-38.69","48.93","-7.77","9.24","0","1","70.54","57.86","4","6.58","38.23","NaN"
