ticker,fiscal_date,excluded_year,excluded_year_reason,shares_outstanding,shares_normalized,market_cap,net_income,total_equity,total_debt,free_cash_flow,operating_income,roe,roic,de_ratio,fcf_yield,pe_ratio,roe_avg_3y,roe_std_3y,roic_avg_3y,roic_std_3y,buffett_score,buffett_score_no_valuation,criteria_total
HPE,2021-10-31,False,,1309000000.0,False,19176850000.0,3427000000.0,20017000000.0,14578000000.0,3369000000.0,2114000000.0,17.120447619523404,5.838138259463634,0.7282809611829945,17.568057319111325,5.59581266413773,7.559975300815379,13.520549615809438,5.838138259463634,,67,60,6
HPE,2022-10-31,False,,1303000000.0,False,18750170000.0,868000000.0,19909000000.0,13484000000.0,1471000000.0,2227000000.0,4.359837259530865,6.608157699088495,0.6772816314229745,7.845262202956027,21.601578341013823,6.493262620387208,9.737364057307355,6.223147979276065,0.5444859674042042,50,40,6
HPE,2023-10-31,False,,1299000000.0,False,19874700000.0,2025000000.0,21238000000.0,13515000000.0,1600000000.0,2442000000.0,9.534796120161975,6.380776366823963,0.636359355871551,8.050435981423618,9.814666666666668,10.338360333072082,6.418144651929373,6.275690775125364,0.39561941375143556,67,60,6
HPE,2024-10-31,False,,1309000000.0,False,26625060000.0,2579000000.0,24880000000.0,19816000000.0,1974000000.0,2494000000.0,10.365755627009646,4.873216275191592,0.7964630225080386,7.414067799283833,10.323792167506786,8.086796335567495,3.254272789940018,5.95405011370135,0.9429087481916801,67,60,6
HPE,2025-10-31,False,,1324000000.0,False,32318840000.0,57000000.0,24754000000.0,24077000000.0,627000000.0,1644000000.0,0.23026581562575746,,0.9726508847055021,1.9400448778483386,566.9971929824561,6.71027252093246,5.627209663867164,5.626996321007778,1.0660059638394623,17,20,6
HSIC,2020-12-31,False,,142504000.0,False,9382463360.0,419423000.0,4312084000.0,1002418000.0,550081000.0,567396000.0,9.726688997709692,8.639447586831393,0.23246717828316887,5.862863289668098,22.369930499758002,9.726688997709692,,8.639447586831393,,67,60,6
HSIC,2021-12-31,False,,140091000.0,False,10920093450.0,660000000.0,4676000000.0,1217000000.0,598000000.0,860000000.0,14.114627887082975,11.116413587435622,0.2602651839178785,5.476143613038404,16.545596136363635,11.920658442396334,3.102741344108016,9.877930587133507,1.751479455795772,67,60,6
HSIC,2022-12-31,False,,136064221.0,False,10867449331.27,566000000.0,4671000000.0,1497000000.0,474000000.0,878000000.0,12.1173196317705,10.87843659998093,0.32048811817597944,4.361649045246637,19.20044051461131,11.986212172187722,2.196905505179341,10.211432591415981,1.366569025925368,83,80,6
HSIC,2023-12-31,False,,130618990.0,False,9889163732.9,436000000.0,5153000000.0,2741000000.0,313000000.0,695000000.0,8.46109062681933,6.854895632817488,0.5319231515621968,3.1650805715622696,22.68156819472477,11.564346048557601,2.867046516207197,9.616581940078014,2.394648555930955,50,40,6
HSIC,2024-12-31,False,,126788997.0,False,8769994922.49,398000000.0,4837000000.0,2870000000.0,661000000.0,731000000.0,8.22824064502791,7.118285166949061,0.5933429811866859,7.5370625164778,22.03516312183417,9.602216967872579,2.1812521257215716,8.283872466582492,2.2508144733430826,50,40,6
HSIC,2025-12-31,False,,120813977.0,False,9235020401.88,419000000.0,4794000000.0,3436000000.0,521000000.0,758000000.0,8.740091781393408,7.03293446617988,0.7167292448894451,5.641568478765229,22.040621484200475,8.476474351080215,0.256272102810205,7.002038421982143,0.1343854003707736,67,60,6
HST,2020-12-31,False,,705900000.0,False,10306140000.0,-741000000.0,6434000000.0,6151000000.0,-806000000.0,-953000000.0,-11.51694124961144,,0.9560149207336027,-7.820580741189233,,-11.51694124961144,,,,33,33,3
HST,2021-12-31,False,,710300000.0,False,12465765000.0,-11000000.0,6572000000.0,5455000000.0,-135000000.0,-258000000.0,-0.16737674984783932,,0.8300365185636032,-1.0829660273557218,,-5.84215899972964,8.025354021296948,,,33,33,3
HST,2022-12-31,False,,714700000.0,False,11470934285.3,643000000.0,6879000000.0,4783000000.0,912000000.0,763000000.0,9.347288850123563,6.28834493438631,0.6953045500799535,7.950529375525478,17.839711174650077,-0.7790097164452386,10.445553866504332,6.28834493438631,,60,50,5
HST,2023-12-31,False,,709700000.0,False,13817859000.0,752000000.0,6826000000.0,4772000000.0,795000000.0,758000000.0,11.016700849692352,6.237028439176018,0.6990917081746264,5.753423884264559,18.3748125,6.732204316656025,6.033232821300701,6.262686686781164,0.03628624174992463,67,60,6
HST,2024-12-31,False,,702100000.0,False,12483338000.0,707000000.0,6777000000.0,5643000000.0,950000000.0,771000000.0,10.432344695292903,6.087191032315558,0.8326693227091634,7.61014401756966,17.656772277227724,10.265444798369606,0.8471279642243081,6.204188135292629,0.10452075032708784,67,60,6
HST,2025-12-31,False,,691400000.0,False,12645706000.0,776000000.0,6732000000.0,5640000000.0,866000000.0,831000000.0,11.527035056446822,6.371908489633109,0.8377896613190731,6.84817439216126,16.29601288659794,10.992026867144025,0.5477621297259613,6.232042653708228,0.14242419446109195,67,60,6
HUBB,2020-12-31,False,,54200000.0,False,8472002000.0,355900000.0,2085400000.0,1692500000.0,565200000.0,494500000.0,17.06627025990218,10.320336445568955,0.8115948978613216,6.671386527057005,23.804445068839563,17.06627025990218,,10.320336445568955,,100,100,6
HUBB,2021-12-31,False,,54300000.0,False,11263992000.0,405600000.0,2240700000.0,1530600000.0,453600000.0,532300000.0,18.101486142723257,11.40407051414112,0.6830901057705181,4.026991496442824,27.771183431952664,17.583878201312718,0.7320081707348023,10.862203479855037,0.7663157088902645,83,100,6
HUBB,2022-12-31,False,,53700000.0,False,12602315463.0,551400000.0,2370600000.0,1558000000.0,453900000.0,702100000.0,23.25993419387497,14.057830292021563,0.6572175820467392,3.6017190756146045,22.855124162132753,19.475896865500136,3.317698277105962,11.927412417243879,1.9229222874898486,100,100,6
HUBB,2023-12-31,False,,53600000.0,False,17630647464.0,766000000.0,2889300000.0,2290000000.0,715100000.0,1038500000.0,26.51161180908871,15.619896937399155,0.7925795175301976,4.05600532515985,23.016511049608354,22.62434404856231,4.2409355755102744,13.69393258118728,2.131340954827027,100,100,6
HUBB,2024-12-31,False,,53700000.0,False,22510503000.0,783500000.0,3282700000.0,1719600000.0,810800000.0,1091600000.0,23.867548054954764,17.007368095804747,0.5238370853261035,3.6018742006786786,28.730699425654116,24.546364685972815,1.7288568021182527,15.561698441741822,1.4756299036882905,83,100,6
HUBB,2025-12-31,False,,53200000.0,False,23759651468.0,891900000.0,3857900000.0,2487300000.0,874700000.0,1208800000.0,23.118795199460845,15.182958464841533,0.6447289976412037,3.6814513090735543,26.63936704563292,24.49931835450144,1.782456568947376,15.936741166015144,0.9525808754605977,83,100,6
HUM,2020-12-31,False,,132198998.0,False,53687333755.790016,3367000000.0,13728000000.0,6660000000.0,4675000000.0,4883000000.0,24.526515151515152,17.145335917973917,0.48513986013986016,8.7078267310971,15.945154070623705,24.526515151515152,,17.145335917973917,,100,100,6
HUM,2021-12-31,False,,128687998.0,False,60004639707.439995,2934000000.0,16103000000.0,12494000000.0,920000000.0,3680000000.0,18.220207414767433,11.007655602022714,0.7758802707570018,1.5332147722002385,20.451479109556917,21.373361283141293,4.459232964903501,14.076495759998316,4.339995372164287,67,60,6
HUM,2022-12-31,False,,126419000.0,False,64750547610.00001,2802000000.0,15370000000.0,11126000000.0,3450000000.0,3969000000.0,18.23031880286272,11.78049677690583,0.7238776837996096,5.328140266519052,23.108689368308355,20.325680456381768,3.638033075979326,13.311162765634153,3.3429004908897535,83,80,6
HUM,2023-12-31,False,,123866000.0,False,56707093460.0,2484000000.0,16318000000.0,11656000000.0,2977000000.0,3876000000.0,15.222453732075008,10.431725367381699,0.7143032234342443,5.249784142260639,22.82894261674718,17.22432664990172,1.7336801736157472,11.073292582103415,0.6767770967261034,83,80,6
HUM,2024-12-31,False,,120571000.0,False,30656381254.289997,1214000000.0,16445000000.0,11721000000.0,2391000000.0,2381000000.0,7.382183034356947,6.424821912655869,0.7127394344785649,7.799354986379574,25.25237335608731,13.611651856431559,5.600582507642926,9.545681352314466,2.7856092350448325,33,40,6
HUM,2025-12-31,False,,120454000.0,False,31203607254.552,1203000000.0,17737000000.0,12369000000.0,375000000.0,2186000000.0,6.782432203867621,6.093645966459774,0.6973558098889328,1.2017841300873788,25.938160643850374,9.795689656766525,4.709272928113448,7.650064415499114,2.414673397222897,17,20,6
ICE,2020-12-31,False,,552000000.0,False,62458800000.0,2108000000.0,19627000000.0,16857000000.0,2471000000.0,3138000000.0,10.740306720334234,6.554943051730874,0.8588678860753044,3.9562079322689514,29.629411764705882,10.740306720334234,,6.554943051730874,,50,60,6
ICE,2021-12-31,False,,562000000.0,False,76870360000.0,4069000000.0,22748000000.0,14170000000.0,2671000000.0,3551000000.0,17.88728679444347,6.868750664460074,0.622911904343239,3.4746812685669743,18.891708036372574,14.31379675738885,5.053678075407774,6.711846858095474,0.22189549094877895,67,60,6
ICE,2022-12-31,False,,559000000.0,False,57347810000.0,1498000000.0,22761000000.0,18376000000.0,3072000000.0,3731000000.0,6.58143315320065,7.514602619651452,0.8073458986863494,5.3567869461798105,38.28291722296395,11.73634222265945,5.718360488874417,6.9794321119474665,0.48931013548546665,33,40,6
ICE,2023-12-31,False,,564000000.0,False,72434514360.0,2438000000.0,25786000000.0,22912000000.0,3053000000.0,3963000000.0,9.45474288373536,6.855641853747181,0.8885441712557202,4.214841539250985,29.71062935192781,11.30782094379316,5.876308821173506,7.079665045952902,0.3767240103718671,33,40,6
ICE,2024-12-31,False,,573000000.0,False,85589010000.0,2802000000.0,27720000000.0,20703000000.0,3857000000.0,4413000000.0,10.108225108225108,7.038548180050842,0.7468614718614719,4.506419691032762,30.5456852248394,8.714800381720373,1.876220017274749,7.136264217816492,0.34017442698966843,50,60,6
ICE,2025-12-31,False,,572000000.0,False,93327520000.0,3370000000.0,28991000000.0,20279000000.0,3871000000.0,4999000000.0,11.624297195681418,7.867572494919147,0.6994929460867165,4.147758346091271,27.693626112759645,10.395755062547295,1.1129899299164043,7.253920842905723,0.539249426114278,50,60,6
IFF,2020-12-31,False,,112162000.0,False,12479144120.0,367000000.0,6420000000.0,4722000000.0,522000000.0,587000000.0,5.716510903426792,4.384321789506804,0.7355140186915888,4.182979176940542,34.00311749318801,5.716510903426792,,4.384321789506804,,50,60,6
IFF,2021-12-31,True,AUTO: shares jump +116.7% vs année précédente (seuil 15%),243000000.0,False,36100080000.0,279000000.0,21222000000.0,12179000000.0,1040000000.0,625000000.0,1.314673452078032,1.474760473526876,0.5738855904250306,2.880880042371097,129.3909677419355,3.5155921777524117,3.1125691115296177,2.92954113151684,2.057370536807462,17,20,6
